"INT/EXT";"CODE FOURNISSEUR";"CODE COLLECTION";"CODE COULEUR";"CATEGORIE";"DIMENSION";"COULEUR";"REF1";"REF2";"DIMENSION2";"PRIX PUBLIC TTC";"PRIX PROMO TTC";"FOURNISSEUR";"COLLECTION";"COLLISAGE";"UNITE";"FINITION"
"EXT";140;"Q";3;" CARRELAGE ";9090;"GREY";"AT";"ML";9090;" 54 € ";" 54 € ";"ASCOT";"MISTRAL";1,62;"m²";0
"INT";140;"R";1;" CARRELAGE ";75150;"SALT";"AT";"UA";75150;" 64 € ";" 64 € ";"ASCOT";"URBANICA";1,125;"m²";0
"INT";140;"R";1;" CARRELAGE ";60120;"SALT";"AT";"UA";60120;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,43;"m²";0
"INT";140;"R";1;" CARRELAGE ";9090;"SALT";"AT";"UA";9090;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,62;"m²";0
"INT";140;"R";1;" CARRELAGE ";6060;"SALT";"AT";"UA";6060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";1;" CARRELAGE ";3060;"SALT";"AT";"UA";3060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";2;" CARRELAGE ";75150;"ASH";"AT";"UA";75150;" 64 € ";" 64 € ";"ASCOT";"URBANICA";1,125;"m²";0
"INT";140;"R";2;" CARRELAGE ";60120;"ASH";"AT";"UA";60120;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,43;"m²";0
"INT";140;"R";2;" CARRELAGE ";9090;"ASH";"AT";"UA";9090;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,62;"m²";0
"INT";140;"R";2;" CARRELAGE ";6060;"ASH";"AT";"UA";6060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";2;" CARRELAGE ";3060;"ASH";"AT";"UA";3060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";3;" CARRELAGE ";75150;"SAND";"AT";"UA";75150;" 64 € ";" 64 € ";"ASCOT";"URBANICA";1,125;"m²";0
"INT";140;"R";3;" CARRELAGE ";60120;"SAND";"AT";"UA";60120;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,43;"m²";0
"INT";140;"R";3;" CARRELAGE ";9090;"SAND";"AT";"UA";9090;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,62;"m²";0
"INT";140;"R";3;" CARRELAGE ";6060;"SAND";"AT";"UA";6060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";3;" CARRELAGE ";3060;"SAND";"AT";"UA";3060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";4;" CARRELAGE ";75150;"CORTEN";"AT";"UA";75150;" 64 € ";" 64 € ";"ASCOT";"URBANICA";1,125;"m²";0
"INT";140;"R";4;" CARRELAGE ";60120;"CORTEN";"AT";"UA";60120;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,43;"m²";0
"INT";140;"R";4;" CARRELAGE ";9090;"CORTEN";"AT";"UA";9090;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,62;"m²";0
"INT";140;"R";4;" CARRELAGE ";6060;"CORTEN";"AT";"UA";6060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";4;" CARRELAGE ";3060;"CORTEN";"AT";"UA";3060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";5;" CARRELAGE ";75150;"IRON";"AT";"UA";75150;" 64 € ";" 64 € ";"ASCOT";"URBANICA";1,125;"m²";0
"INT";140;"R";5;" CARRELAGE ";60120;"IRON";"AT";"UA";60120;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,43;"m²";0
"INT";140;"R";5;" CARRELAGE ";9090;"IRON";"AT";"UA";9090;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,62;"m²";0
"INT";140;"R";5;" CARRELAGE ";6060;"IRON";"AT";"UA";6060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";5;" CARRELAGE ";3060;"IRON";"AT";"UA";3060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";6;" CARRELAGE ";75150;"EMERALD";"AT";"UA";75150;" 64 € ";" 64 € ";"ASCOT";"URBANICA";1,125;"m²";0
"INT";140;"R";6;" CARRELAGE ";60120;"EMERALD";"AT";"UA";60120;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,43;"m²";0
"INT";140;"R";6;" CARRELAGE ";9090;"EMERALD";"AT";"UA";9090;" 54 € ";" 54 € ";"ASCOT";"URBANICA";1,62;"m²";0
"INT";140;"R";6;" CARRELAGE ";6060;"EMERALD";"AT";"UA";6060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT";140;"R";6;" CARRELAGE ";3060;"EMERALD";"AT";"UA";3060;" 44 € ";" 44 € ";"ASCOT";"URBANICA";1,44;"m²";0
"INT ";150;"K";1;" CARRELAGE ";3060;"WHITE";"AA";"SE";3060;" 50 € ";" 50 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";1;" CARRELAGE ";4590;"WHITE";"AA";"SE";4590;" 68 € ";" 68 € ";"ARPA";"SEASTONE";1,215;"m²";0
"INT ";150;"K";1;" CARRELAGE ";6060;"WHITE";"AA";"SE";6060;" 56 € ";" 56 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";2;" CARRELAGE ";3060;"BEIGE";"AA";"SE";3060;" 50 € ";" 50 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";2;" CARRELAGE ";4590;"BEIGE";"AA";"SE";4590;" 68 € ";" 68 € ";"ARPA";"SEASTONE";1,215;"m²";0
"INT ";150;"K";2;" CARRELAGE ";6060;"BEIGE";"AA";"SE";6060;" 56 € ";" 56 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";3;" CARRELAGE ";3060;"MUD";"AA";"SE";3060;" 50 € ";" 50 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";3;" CARRELAGE ";4590;"MUD";"AA";"SE";4590;" 68 € ";" 68 € ";"ARPA";"SEASTONE";1,215;"m²";0
"INT ";150;"K";3;" CARRELAGE ";6060;"MUD";"AA";"SE";6060;" 56 € ";" 56 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";4;" CARRELAGE ";3060;"MOKA";"AA";"SE";3060;" 50 € ";" 50 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";4;" CARRELAGE ";4590;"MOKA";"AA";"SE";4590;" 68 € ";" 68 € ";"ARPA";"SEASTONE";1,215;"m²";0
"INT ";150;"K";4;" CARRELAGE ";6060;"MOKA";"AA";"SE";6060;" 56 € ";" 56 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";5;" CARRELAGE ";3060;"GREY";"AA";"SE";3060;" 50 € ";" 50 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";5;" CARRELAGE ";4590;"GREY";"AA";"SE";4590;" 68 € ";" 68 € ";"ARPA";"SEASTONE";1,215;"m²";0
"INT ";150;"K";5;" CARRELAGE ";6060;"GREY";"AA";"SE";6060;" 56 € ";" 56 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";6;" CARRELAGE ";3060;"SILVER";"AA";"SE";3060;" 50 € ";" 50 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";6;" CARRELAGE ";4590;"SILVER";"AA";"SE";4590;" 68 € ";" 68 € ";"ARPA";"SEASTONE";1,215;"m²";0
"INT ";150;"K";6;" CARRELAGE ";6060;"SILVER";"AA";"SE";6060;" 56 € ";" 56 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";7;" CARRELAGE ";3060;"ANTHRACITE";"AA";"SE";3060;" 50 € ";" 50 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";150;"K";7;" CARRELAGE ";4590;"ANTHRACITE";"AA";"SE";4590;" 68 € ";" 68 € ";"ARPA";"SEASTONE";1,215;"m²";0
"INT ";150;"K";7;" CARRELAGE ";6060;"ANTHRACITE";"AA";"SE";6060;" 56 € ";" 56 € ";"ARPA";"SEASTONE";1,08;"m²";0
"INT ";170;"A";1;" CARRELAGE ";3060;"ANTHRACITE";"GI";"FN";3060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";1;" CARRELAGE ";4590;"ANTHRACITE";"GI";"FN";4590;" 59 € ";" 59 € ";"GAZZINI";"FUSION";1,22;"m²";0
"INT ";170;"A";1;" CARRELAGE ";6060;"ANTHRACITE";"GI";"FN";6060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";1;" CARRELAGE ";9090;"ANTHRACITE";"GI";"FN";9090;" 65 € ";" 65 € ";"GAZZINI";"FUSION";1,62;"m²";0
"INT ";170;"A";2;" CARRELAGE ";3060;"BEIGE";"GI";"FN";3060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";2;" CARRELAGE ";4590;"BEIGE";"GI";"FN";4590;" 59 € ";" 59 € ";"GAZZINI";"FUSION";1,22;"m²";0
"INT ";170;"A";2;" CARRELAGE ";6060;"BEIGE";"GI";"FN";6060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";2;" CARRELAGE ";9090;"BEIGE";"GI";"FN";9090;" 65 € ";" 65 € ";"GAZZINI";"FUSION";1,62;"m²";0
"INT ";170;"A";3;" CARRELAGE ";3060;"BIANCO";"GI";"FN";3060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";3;" CARRELAGE ";4590;"BIANCO";"GI";"FN";4590;" 59 € ";" 59 € ";"GAZZINI";"FUSION";1,22;"m²";0
"INT ";170;"A";3;" CARRELAGE ";6060;"BIANCO";"GI";"FN";6060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";3;" CARRELAGE ";9090;"BIANCO";"GI";"FN";9090;" 65 € ";" 65 € ";"GAZZINI";"FUSION";1,62;"m²";0
"INT ";170;"A";4;" CARRELAGE ";3060;"GRIGIO";"GI";"FN";3060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";4;" CARRELAGE ";4590;"GRIGIO";"GI";"FN";4590;" 59 € ";" 59 € ";"GAZZINI";"FUSION";1,22;"m²";0
"INT ";170;"A";4;" CARRELAGE ";6060;"GRIGIO";"GI";"FN";6060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";4;" CARRELAGE ";9090;"GRIGIO";"GI";"FN";9090;" 65 € ";" 65 € ";"GAZZINI";"FUSION";1,62;"m²";0
"INT ";170;"A";5;" CARRELAGE ";3060;"TORTORA";"GI";"FN";3060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";5;" CARRELAGE ";4590;"TORTORA";"GI";"FN";4590;" 59 € ";" 59 € ";"GAZZINI";"FUSION";1,22;"m²";0
"INT ";170;"A";5;" CARRELAGE ";6060;"TORTORA";"GI";"FN";6060;" 55 € ";" 55 € ";"GAZZINI";"FUSION";1,08;"m²";0
"INT ";170;"A";5;" CARRELAGE ";9090;"TORTORA";"GI";"FN";9090;" 65 € ";" 65 € ";"GAZZINI";"FUSION";1,62;"m²";0
"INT ";170;"B";1;" CARRELAGE ";3060;"BLACK";"GI";"ME";3060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";1;" CARRELAGE ";4080;"BLACK";"GI";"ME";4080;" 60 € ";" 60 € ";"GAZZINI";"MOVE";0,96;"m²";0
"INT ";170;"B";1;" PLINTHE ";760;"BLACK";"GI";"ME";760;" 20 € ";" 20 € ";"GAZZINI";"MOVE";10,8;"ml";0
"INT ";170;"B";1;" MOSAIC ";3030;"BLACK 5X5";"GI";"ME";3030;" 22 € ";" 22 € ";"GAZZINI";"MOVE";11;"pce";0
"INT ";170;"B";1;" CARRELAGE ";6060;"BLACK";"GI";"ME";6060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";2;" CARRELAGE ";3060;"BEIGE";"GI";"ME";3060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";2;" CARRELAGE ";4080;"BEIGE";"GI";"ME";4080;" 60 € ";" 60 € ";"GAZZINI";"MOVE";0,96;"m²";0
"INT ";170;"B";2;" CARRELAGE ";6060;"BEIGE";"GI";"ME";6060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";2;" PLINTHE ";760;"BEIGE";"GI";"ME";760;" 20 € ";" 20 € ";"GAZZINI";"MOVE";10,8;"ml";0
"INT ";170;"B";2;" MOSAIC ";3030;"BEIGE 5x5";"GI";"ME";3030;" 22 € ";" 22 € ";"GAZZINI";"MOVE";11;"pce";0
"INT ";170;"B";3;" CARRELAGE ";3060;"GREY";"GI";"ME";3060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";3;" CARRELAGE ";4080;"GREY";"GI";"ME";4080;" 60 € ";" 60 € ";"GAZZINI";"MOVE";0,96;"m²";0
"INT ";170;"B";3;" CARRELAGE ";6060;"GREY";"GI";"ME";6060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";3;" PLINTHE ";760;"GREY";"GI";"ME";760;" 20 € ";" 20 € ";"GAZZINI";"MOVE";10,8;"ml";0
"INT ";170;"B";3;" MOSAIC ";3030;"GREY 5x5";"GI";"ME";3030;" 22 € ";" 22 € ";"GAZZINI";"MOVE";11;"pce";0
"INT ";170;"B";4;" CARRELAGE ";3060;"IVOIRE";"GI";"ME";3060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";4;" CARRELAGE ";4080;"IVOIRE";"GI";"ME";4080;" 60 € ";" 60 € ";"GAZZINI";"MOVE";0,96;"m²";0
"INT ";170;"B";4;" CARRELAGE ";6060;"IVOIRE";"GI";"ME";6060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";4;" PLINTHE ";760;"IVOIRE";"GI";"ME";760;" 20 € ";" 20 € ";"GAZZINI";"MOVE";10,8;"ml";0
"INT ";170;"B";4;" MOSAIC ";3030;"IVOIRE 5x5";"GI";"ME";3030;" 22 € ";" 22 € ";"GAZZINI";"MOVE";11;"pce";0
"INT ";170;"B";5;" CARRELAGE ";3060;"MUD";"GI";"ME";3060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";5;" CARRELAGE ";4080;"MUD";"GI";"ME";4080;" 60 € ";" 60 € ";"GAZZINI";"MOVE";0,96;"m²";0
"INT ";170;"B";5;" CARRELAGE ";6060;"MUD";"GI";"ME";6060;" 55 € ";" 55 € ";"GAZZINI";"MOVE";1,08;"m²";0
"INT ";170;"B";5;" PLINTHE ";760;"MUD";"GI";"ME";760;" 20 € ";" 20 € ";"GAZZINI";"MOVE";10,8;"ml";0
"INT ";170;"B";5;" MOSAIC ";3030;"MUD 5x5";"GI";"ME";3030;" 22 € ";" 22 € ";"GAZZINI";"MOVE";11;"pce";0
"INT";170;"D";1;" CARRELAGE ";3060;"LIGHT BARDIGLIO";"GI";"RM";3060;" 64 € ";" 64 € ";"GAZZINI";"ROYAL MARBLES ";1,08;"m²";0
"INT";170;"D";1;" CARRELAGE ";3060;"LIGHT BARDIGLIO";"GI";"RM";3060;" 77 € ";" 77 € ";"GAZZINI";"ROYAL MARBLES ";1,08;"m²";"poli"
"INT";170;"D";2;" CARRELAGE ";3060;"MARFIL";"GI";"RM";3060;" 64 € ";" 64 € ";"GAZZINI";"ROYAL MARBLES ";1,08;"m²";0
"               ";170;"D";2;" CARRELAGE ";3060;"MARFIL";"GI";"RM";3060;" 77 € ";" 77 € ";"GAZZINI";"ROYAL MARBLES ";1,08;"m²";"poli"
"INT";170;"D";3;" CARRELAGE ";3060;"ROYAL GOLD";"GI";"RM";3060;" 64 € ";" 64 € ";"GAZZINI";"ROYAL MARBLES ";1,08;"m²";0
"INT";170;"D";3;" CARRELAGE ";3060;"ROYAL GOLD";"GI";"RM";3060;" 77 € ";" 77 € ";"GAZZINI";"ROYAL MARBLES ";1,08;"m²";"poli"
"INT ";170;"G";1;" CARRELAGE ";3060;"ANTHRACITE";"GI";"QZ";3060;" 50 € ";" 50 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT ";170;"G";1;" CARRELAGE ";6060;"ANTHRACITE";"GI";"QZ";6060;" 52 € ";" 52 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT ";170;"G";2;" CARRELAGE ";3060;"BEIGE";"GI";"QZ";3060;" 50 € ";" 50 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT ";170;"G";2;" CARRELAGE ";6060;"BEIGE";"GI";"QZ";6060;" 52 € ";" 52 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT ";170;"G";3;" CARRELAGE ";3060;"GREY";"GI";"QZ";3060;" 50 € ";" 50 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT ";170;"G";3;" CARRELAGE ";6060;"GREY";"GI";"QZ";6060;" 52 € ";" 52 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT ";170;"G";4;" CARRELAGE ";3060;"TAUPE";"GI";"QZ";3060;" 50 € ";" 50 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT ";170;"G";4;" CARRELAGE ";6060;"TAUPE";"GI";"QZ";6060;" 52 € ";" 52 € ";"GAZZINI";"QUARZ";1,08;"m²";0
"INT";170;"H";1;" CARRELAGE ";6090;"BEIGE";"GI";"RE";6090;" 57 € ";" 57 € ";"GAZZINI";"LA RESERVE";1,08;"m²";0
"INT";170;"H";1;" CARRELAGE ";6090;"BEIGE";"GI";"RE";6090;" 57 € ";" 57 € ";"GAZZINI";"LA RESERVE";1,08;"m²";0
"INT";170;"H";1;" CARRELAGE ";9090;"BEIGE";"GI";"RE";9090;" 68 € ";" 68 € ";"GAZZINI";"LA RESERVE";1,62;"m²";0
"EXT";170;"H";1;" CARRELAGE ";9090;"BEIGE";"GI";"RE";9090;" 68 € ";" 68 € ";"GAZZINI";"LA RESERVE";1,62;"m²";0
"EXT";170;"H";1;" CARRELAGE ";11;"BEIG COMPO 4F";"GI";"RE";11;" 67 € ";" 67 € ";"GAZZINI";"LA RESERVE";2,16;"m²";0
"INT";170;"H";2;" CARRELAGE ";6090;"GREIGE";"GI";"RE";6090;" 57 € ";" 57 € ";"GAZZINI";"LA RESERVE";1,08;"m²";0
"INT";170;"H";2;" CARRELAGE ";6090;"GREIGE";"GI";"RE";6090;" 57 € ";" 57 € ";"GAZZINI";"LA RESERVE";1,08;"m²";0
"INT";170;"H";2;" CARRELAGE ";9090;"GREIGE";"GI";"RE";9090;" 68 € ";" 68 € ";"GAZZINI";"LA RESERVE";1,62;"m²";0
"EXT";170;"H";2;" CARRELAGE ";9090;"GREIGE";"GI";"RE";9090;" 68 € ";" 68 € ";"GAZZINI";"LA RESERVE";1,62;"m²";0
"EXT";170;"H";2;" CARRELAGE ";11;"GREIG COMPO 4F";"GI";"RE";11;" 67 € ";" 67 € ";"GAZZINI";"LA RESERVE";2,16;"m²";0
"INT";170;"H";3;" CARRELAGE ";6090;"IVOIRE";"GI";"RE";6090;" 57 € ";" 57 € ";"GAZZINI";"LA RESERVE";1,08;"m²";0
"INT";170;"H";3;" CARRELAGE ";6090;"IVOIRE";"GI";"RE";6090;" 57 € ";" 57 € ";"GAZZINI";"LA RESERVE";1,08;"m²";0
"INT";170;"H";3;" CARRELAGE ";9090;"IVOIRE";"GI";"RE";9090;" 68 € ";" 68 € ";"GAZZINI";"LA RESERVE";1,62;"m²";0
"EXT";170;"H";3;" CARRELAGE ";9090;"IVOIRE";"GI";"RE";9090;" 68 € ";" 68 € ";"GAZZINI";"LA RESERVE";1,62;"m²";0
"EXT";170;"H";3;" CARRELAGE ";11;"IVOIR COMPO 4F";"GI";"RE";11;" 67 € ";" 67 € ";"GAZZINI";"LA RESERVE";2,16;"m²";0
"INT ";170;"I";1;" CARRELAGE ";3060;"BLACK";"GI";"MA";3060;" 77 € ";" 77 € ";"GAZZINI";"MARQUINA";1,08;"m²";0
"INT ";170;"I";1;" CARRELAGE ";3060;"BLACK";"GI";"MA";3060;" 91 € ";" 91 € ";"GAZZINI";"MARQUINA";1,08;"m²";"poli"
"INT ";170;"I";1;" CARRELAGE ";6060;"BLACK";"GI";"MA";6060;" 77 € ";" 77 € ";"GAZZINI";"MARQUINA";1,08;"m²";0
"INT ";170;"I";1;" CARRELAGE ";6060;"BLACK";"GI";"MA";6060;" 91 € ";" 91 € ";"GAZZINI";"MARQUINA";1,08;"m²";"poli"
"INT ";170;"I";1;" CARRELAGE ";60120;"BLACK";"GI";"MA";60120;" 86 € ";" 86 € ";"GAZZINI";"MARQUINA";1,44;"m²";0
"INT ";170;"I";1;" CARRELAGE ";60120;"BLACK";"GI";"MA";60120;" 98 € ";" 98 € ";"GAZZINI";"MARQUINA";1,44;"m²";"poli"
"INT ";170;"J";1;" CARRELAGE ";4161;"AVORIO";"GI";"OS";4161;" 52 € ";" 52 € ";"GAZZINI";"OPUS STONE";1,25;"m²";0
"INT ";170;"J";1;" CARRELAGE ";4141;"AVORIO";"GI";"OS";4141;" 59 € ";" 59 € ";"GAZZINI";"OPUS STONE";1;"m²";0
"INT ";170;"J";1;" CARRELAGE ";2041;"AVORIO";"GI";"OS";2041;" 68 € ";" 68 € ";"GAZZINI";"OPUS STONE";0,99;"m²";0
"INT ";170;"J";1;" CARRELAGE ";1020;"AVORIO";"GI";"OS";1020;" 77 € ";" 77 € ";"GAZZINI";"OPUS STONE";0,64;"m²";0
"INT ";170;"J";1;" CARRELAGE ";2020;"AVORIO";"GI";"OS";2020;" 71 € ";" 71 € ";"GAZZINI";"OPUS STONE";0,99;"m²";0
"INT ";170;"J";1;" CARRELAGE ";11;"AVORIO MIX BOX";"GI";"OS";11;" 65 € ";" 65 € ";"GAZZINI";"OPUS STONE";0,75;"m²";0
"INT ";170;"J";2;" CARRELAGE ";4161;"GRIGIO";"GI";"OS";4161;" 52 € ";" 52 € ";"GAZZINI";"OPUS STONE";1,25;"m²";0
"INT ";170;"J";2;" CARRELAGE ";4141;"GRIGIO";"GI";"OS";4161;" 59 € ";" 59 € ";"GAZZINI";"OPUS STONE";1;"m²";0
"INT ";170;"J";2;" CARRELAGE ";2041;"GRIGIO";"GI";"OS";4161;" 68 € ";" 68 € ";"GAZZINI";"OPUS STONE";0,99;"m²";0
"INT ";170;"J";2;" CARRELAGE ";1020;"GRIGIO";"GI";"OS";4161;" 77 € ";" 77 € ";"GAZZINI";"OPUS STONE";0,64;"m²";0
"INT ";170;"J";2;" CARRELAGE ";2020;"GRIGIO";"GI";"OS";4161;" 71 € ";" 71 € ";"GAZZINI";"OPUS STONE";0,99;"m²";0
"INT ";170;"J";2;" CARRELAGE ";11;"GRIGIO MIX BOX";"GI";"OS";11;" 65 € ";" 65 € ";"GAZZINI";"OPUS STONE";0,75;"m²";0
"INT ";170;"J";3;" CARRELAGE ";4161;"BEIGE";"GI";"OS";4161;" 52 € ";" 52 € ";"GAZZINI";"OPUS STONE";1,25;"m²";0
"INT ";170;"J";3;" CARRELAGE ";4141;"BEIGE";"GI";"OS";4161;" 59 € ";" 59 € ";"GAZZINI";"OPUS STONE";1;"m²";0
"INT ";170;"J";3;" CARRELAGE ";2041;"BEIGE";"GI";"OS";4161;" 68 € ";" 68 € ";"GAZZINI";"OPUS STONE";0,99;"m²";0
"INT ";170;"J";3;" CARRELAGE ";1020;"BEIGE";"GI";"OS";4161;" 77 € ";" 77 € ";"GAZZINI";"OPUS STONE";0,64;"m²";0
"INT ";170;"J";3;" CARRELAGE ";2020;"BEIGE";"GI";"OS";4161;" 71 € ";" 71 € ";"GAZZINI";"OPUS STONE";0,99;"m²";0
"INT ";170;"J";3;" CARRELAGE ";11;"BEIGE MIX BOX";"GI";"OS";11;" 65 € ";" 65 € ";"GAZZINI";"OPUS STONE";0,75;"m²";0
"INT";170;"K";1;" CARRELAGE ";3060;"GRIGIO";"GI";"ATK";3060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";1;" CARRELAGE ";4590;"GRIGIO";"GI";"ATK";4590;" 59 € ";" 59 € ";"GAZZINI";"ARTWORK";1,22;"m²";0
"INT";170;"K";1;" CARRELAGE ";6060;"GRIGIO";"GI";"ATK";6060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";1;" CARRELAGE ";9090;"GRIGIO";"GI";"ATK";9090;" 65 € ";" 65 € ";"GAZZINI";"ARTWORK";1,62;"m²";0
"INT";170;"K";2;" CARRELAGE ";3060;"PIOMBO";"GI";"ATK";3060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";2;" CARRELAGE ";4590;"PIOMBO";"GI";"ATK";4590;" 59 € ";" 59 € ";"GAZZINI";"ARTWORK";1,22;"m²";0
"INT";170;"K";2;" CARRELAGE ";6060;"PIOMBO";"GI";"ATK";6060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";2;" CARRELAGE ";9090;"PIOMBO";"GI";"ATK";9090;" 65 € ";" 65 € ";"GAZZINI";"ARTWORK";1,62;"m²";0
"INT";170;"K";3;" CARRELAGE ";3060;"SABBIA";"GI";"ATK";3060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";3;" CARRELAGE ";4590;"SABBIA";"GI";"ATK";4590;" 59 € ";" 59 € ";"GAZZINI";"ARTWORK";1,22;"m²";0
"INT";170;"K";3;" CARRELAGE ";6060;"SABBIA";"GI";"ATK";6060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";3;" CARRELAGE ";9090;"SABBIA";"GI";"ATK";9090;" 65 € ";" 65 € ";"GAZZINI";"ARTWORK";1,62;"m²";0
"INT";170;"K";4;" CARRELAGE ";3060;"TORTORA";"GI";"ATK";3060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";4;" CARRELAGE ";4590;"TORTORA";"GI";"ATK";4590;" 59 € ";" 59 € ";"GAZZINI";"ARTWORK";1,22;"m²";0
"INT";170;"K";4;" CARRELAGE ";6060;"TORTORA";"GI";"ATK";6060;" 55 € ";" 55 € ";"GAZZINI";"ARTWORK";1,08;"m²";0
"INT";170;"K";4;" CARRELAGE ";9090;"TORTORA";"GI";"ATK";9090;" 65 € ";" 65 € ";"GAZZINI";"ARTWORK";1,62;"m²";0
"INT";170;"N";1;" CARRELAGE ";3060;"DARK CLOUD";"GI";"STN";3060;" 55 € ";" 55 € ";"GAZZINI ";"STONE SELECTION";1,08;"m²";0
"EXT";170;"N";1;" CARRELAGE ";3060;"DARK CLOUD";"GI";"STN";3060;" 55 € ";" 55 € ";"GAZZINI ";"STONE SELECTION";1,08;"m²";0
